"Uwi","Producer.oilApiGravity","Core.XrdQuartz","Producer.mudPressure","Core.TOC","Core.RoMeasured","Core.GriSaturationsSo","Core.ln_formationThickness","Core.GriTotalPorosity","Rules.Prediction","Kaggle.Prediction","Target"
"42255322170100",55.3,16.00116381,0.61879998,3.440577992,1.27136421,18.52123966,5.305190006,7.957917,300,17.2315463744281,23.6131268777444
"42255322190000",40,15.21680268,0.584205273,3.357196177,1.149195577,24.5167381,5.076523262,7.064068098,250,12.7123736309791,8.44491101779644
"42255322200000",42.6,15.58619452,0.577018623,3.418728845,1.11918631,26.31574684,5.125946907,7.522692602,300,14.8444432755905,20.9959616355376
"42255322210000",48.6,14.97361794,0.591699671,3.332327772,1.071316958,26.88684217,4.977159508,6.821242496,250,12.0144649151862,15.2350100603622
"42255322220000",49.5,15.84890326,0.585266057,3.424497273,1.214698742,21.14159133,5.215242482,7.76892155,300,18.9413776709389,15.52457002457
"42255322230000",58,16.18684922,0.620689006,3.501542962,1.391571812,14.50210729,5.616886452,8.453622229,350,16.6672364586623,20.3505687693899
"42255322250000",56,16.02658993,0.609042688,3.526021108,1.412829785,15.9876843,5.680289552,8.600810387,350,18.8171956893613,41.0871893744644
"42255322260000",47.6,15.75694577,0.574235843,3.430926173,1.175689545,23.55417283,5.23143215,7.80953065,300,17.7155178913258,26.974358974359
"42255322270000",40,15.31662249,0.585608445,3.465108888,1.057715851,31.91046779,5.080244096,7.534301321,250,16.7287230287319,11.4853240337111
"42255322290000",40,15.27704195,0.576327641,3.473411164,1.018183069,32.39475736,5.005941342,7.437785212,200,16.1797655090621,14.471101145989
"42255322300000",42,15.32502834,0.581449372,3.429001037,1.01581866,31.38790266,4.978343242,7.21909181,250,18.0939490714478,22.4810935558317
"42255322310000",45,15.63744947,0.572029714,3.408595654,1.145430347,24.39053532,5.112604093,7.481403277,300,16.8617950692982,18.6150427913101
"42255322320000",43,15.07120021,0.586720179,3.34701559,1.017246628,28.32935036,4.880236038,6.741789052,250,12.6896714029494,15.8824617454179
"42255322360000",40,15.316291,0.585549217,3.465137416,1.057316231,31.91582907,5.079503966,7.533068038,250,15.9813401509469,9.87214611872146
"42255322370000",41.2,15.31996825,0.585881722,3.4625598,1.059392772,31.87862535,5.082579861,7.528640857,300,16.0540534031041,7.60386345594072
"42255322380000",39.1,15.33721003,0.56679998,3.50533229,1.049241164,28.08483198,5.07089191,7.92822298,250,14.8493708144896,8.75188536953243
"42255322390000",55,15.9929108,0.61066704,3.433962654,1.324082763,16.48888739,5.284311516,7.799774067,300,16.3838214032224,9.6969007179128
"42255322400000",40.9,15.34243327,0.588913265,3.466165014,1.087304642,31.50620814,5.134959761,7.640451475,300,16.8217382536873,12.8654481391764
"42255322420000",42,15.63850983,0.571969642,3.408727094,1.145696034,24.3812447,5.113273686,7.483388077,300,14.977091337131,18.4140914709518
"42255322430000",58.6,16.10591893,0.622208776,3.527803181,1.425155774,15.27834493,5.692839962,8.609764538,350,17.8048390098405,26.9052760736196
"42255322450000",44.9,15.756604,0.574208969,3.430899984,1.175588894,23.55966207,5.231244526,7.809026449,300,14.6446062248969,21.516264722378
"42255322460000",45,15.72408505,0.576283538,3.405267512,1.195540212,21.89355329,5.133262959,7.528651262,300,14.3681264207015,17.8669088507266
"42255322480000",44,15.63796427,0.572000654,3.408661589,1.145555429,24.38628783,5.112933338,7.48238114,300,15.1387983103424,20.0716764750264
"42255322490000",47,15.77674927,0.578850672,3.412738264,1.201410265,21.65784744,5.160316059,7.61975952,300,18.9967683086899,13.2310658645689
"42255322500000",37.7,15.77564966,0.578972627,3.412133175,1.20228792,21.60812243,5.15840073,7.613911271,250,15.4470848482788,9.52727272727273
"42255322510000",38,15.39066772,0.581206201,3.475059181,1.143661032,30.27650961,5.237345541,7.882158188,250,19.7627864417673,12.4316127736493
"42255322520000",44.5,15.02326083,0.590944914,3.337472023,1.07765428,26.68629297,4.982653096,6.851331578,250,11.9231367026353,13.0113526570048
"42255322530000",40,15.30591939,0.582227925,3.457047396,1.039899365,32.07221772,5.043901948,7.438197637,250,17.8235581257484,12.0018037518038
"42255322550000",49,16.07247214,0.601430927,3.463893393,1.298137918,17.52306001,5.431146706,8.190858648,350,17.623803695482,11.2461973823842
"42255322560000",38,15.38190678,0.588338566,3.428748243,1.048146647,30.49552743,5.038161735,7.332945382,250,19.2297121747443,11.3056925996205
"42255322570000",41,15.38276419,0.588486702,3.430886395,1.052727047,30.53808721,5.049503876,7.361419339,300,19.0689257507845,19.1028640580879
"42255322580000",38,15.38192815,0.588342203,3.428800186,1.048275876,30.49593387,5.038472627,7.333709498,250,19.0927110949531,14.6422649140546
"42255322590000",41,15.38319568,0.588506635,3.430878991,1.052923889,30.53183783,5.049855945,7.362105335,300,19.2637744772797,16.8766767633059
"42255322600000",44.4,15.79338424,0.57995882,3.415687412,1.203226228,21.60217775,5.172562418,7.655519924,300,16.080755294849,13.809211604655
"42255322640000",57.2,16.06100808,0.624270086,3.559647782,1.458080018,16.5538833,5.754882012,8.779465271,350,19.2891039877922,15.4831751509922
"42255322710000",45,15.79302101,0.57993164,3.415622487,1.203174932,21.6039143,5.172279492,7.654717433,300,17.0535502148182,11.4414955766984
"42255322740000",51.5,15.81428678,0.60839999,3.454041556,1.201953991,22.52683397,5.371310218,8.18101596,350,16.9229944117073,60.065458384656
"42255322750000",54,16.0014356,0.61360001,3.44060347,1.271514371,18.51453673,5.305332671,7.958115314,300,17.2446584392731,29.2663842511837
"42255322760000",49.1,15.75659229,0.585323066,3.40363115,1.230415678,20.3803303,5.148821752,7.535523106,300,18.3054417639909,18.2169165817441
"42255322780000",55.7,16.05684676,0.60320002,3.453618778,1.294279347,17.63234533,5.374877863,8.078851152,350,16.1702453761174,18.5609997525365
"42255322800000",43.1,15.338933,0.577686234,3.369090406,1.174079157,23.49161441,5.101669251,7.166200985,300,13.6297157132471,11.5322109603161
"42255322810000",55,15.9927072,0.610663063,3.433950927,1.32408118,16.48979289,5.28429425,7.799533809,300,16.4089980258905,8.66284403669725
"42255322820000",40,15.60734219,0.573619475,3.403846287,1.139947842,24.52534638,5.092685895,7.419762301,250,15.7496746126155,12.5976373469969
"42255322840000",49,16.07231229,0.601391063,3.463880543,1.298048835,17.52665807,5.431080774,8.190839597,350,17.9760888949203,9.15675772183539
"42255322850000",40,15.15937477,0.588274909,3.351195062,1.104857702,25.81636293,5.013982443,6.961242671,250,11.7198979262914,17.4308228268082
"42255322880000",51.3,15.88924438,0.56160001,3.430427002,1.225822314,20.65005221,5.246867931,7.845515455,300,16.8694825024878,28.6072340425532
"42255322900000",43,15.18905294,0.58773141,3.354170351,1.108774025,25.66520957,5.017691208,6.983021159,300,11.6967936989915,14.1363368089711
"42255322910000",58,16.10959036,0.609822288,3.47947569,1.328752763,16.26694007,5.524132747,8.333848922,350,17.6876443399203,33.8417486691402
"42255322930000",43,15.43681111,0.570734927,3.511512801,1.139275453,27.64418861,5.257714558,8.149442007,350,19.9506844404274,15.7993655828707
"42255322950000",56.4,16.0017247,0.598,3.440629914,1.271622396,18.50981532,5.305477847,7.958343633,300,16.7740554176823,27.8806459162181
"42255322960000",49,15.92440951,0.597402701,3.4196687,1.257624063,18.9296133,5.199743426,7.742052588,300,17.6300065542264,16.8774583963691
"42255322970000",44,15.29633688,0.56160001,3.394850766,0.991175982,30.3121557,4.877567652,6.904062497,200,19.1218526539022,11.9769375167605
