Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,Hole Direction,Unit Well Number,Depth Total Maximum,Perforation Upper,Perforation Lower,Status Prod Current Name,Surface Latitude,Surface Longitude,Surface LL Source,Type Name,Date Completion,Date Abandonment,Play Name,Play Type
242010263874,PI,WELL,G,BEINHORN RANCH,12H,42127341140000,263874,HORIZONTAL,1,13964,8485,13824,ACTIVE,+28.28038, -99.69970,TS,ACTIVE PRODUCING-GENERAL,2011-10-31,,,
242010263875,PI,WELL,G,BEINHORN RANCH,21H,42127341150000,263875,HORIZONTAL,1,13866,8708,13728,ACTIVE,+28.28038, -99.69978,TS,ACTIVE PRODUCING-GENERAL,2011-10-31,,,
242010263876,PI,WELL,G,PILONCILLO,A4H,42127338440000,263876,HORIZONTAL,1,14001,8780,13754,ACTIVE,+28.21213, -99.68784,TS,ACTIVE PRODUCING-GENERAL,2011-09-06,,,
242010263878,PI,WELL,G,BRISCOE CATARINA SOUTH,8H,42127339510000,263878,HORIZONTAL,1,13188,8178,12934,ACTIVE,+28.27197, -99.85349,TS,ACTIVE PRODUCING-GENERAL,2011-10-24,,,
242010263881,PI,WELL,G,BRISCOE CATARINA SOUTH,9H,42127339530000,263881,HORIZONTAL,1,13381,8288,13245,ACTIVE,+28.27200, -99.85342,TS,ACTIVE PRODUCING-GENERAL,2011-10-24,,,
242010263906,PI,WELL,G,CMWW A,4301H,42127339970000,263906,HORIZONTAL,1,12700,7611,12405,ACTIVE,+28.36244, -99.82292,TS,ACTIVE PRODUCING-GENERAL,2011-06-30,,,
242010264008,PI,WELL,G,BRISCOE CATARINA NORTH,13H,42127339370000,264008,HORIZONTAL,1,13594,8709,13443,ACTIVE,+28.33564, -99.83222,TS,ACTIVE PRODUCING-GENERAL,2011-11-17,,,
242010264009,PI,WELL,G,BRISCOE CATARINA NORTH,14H,42127339380000,264009,HORIZONTAL,1,13030,7911,12900,ACTIVE,+28.33571, -99.83220,TS,ACTIVE PRODUCING-GENERAL,2011-11-17,,,
242010264010,PI,WELL,G,BRISCOE CATARINA NORTH,15H,42127339390000,264010,HORIZONTAL,1,13035,8080,12898,ACTIVE,+28.35026, -99.84178,TS,ACTIVE PRODUCING-GENERAL,2011-11-17,,,
242010264017,PI,WELL,G,BRISCOE CATARINA NORTH,17H,42127339480000,264017,HORIZONTAL,1,12840,8049,12689,ACTIVE,+28.33106, -99.83995,TS,ACTIVE PRODUCING-GENERAL,2011-11-17,,,
