UWI,State,County Name,District Name,Latitude,Longitude
42163302510000,TX,FRIO,RR DISTRICT 01,28.82893944,-99.13305664
42163302520000,TX,FRIO,RR DISTRICT 01,28.8263607,-99.12988281
42163302630000,TX,FRIO,RR DISTRICT 01,28.82275009,-99.15088654
42163302700000,TX,FRIO,RR DISTRICT 01,28.76877975,-99.23581696
42163302750000,TX,FRIO,RR DISTRICT 01,28.87669945,-99.0770874
42163302820000,TX,FRIO,RR DISTRICT 01,28.85091019,-99.12185669
42163302970000,TX,FRIO,RR DISTRICT 01,28.90044975,-98.93762207
42163303020000,TX,FRIO,RR DISTRICT 01,28.91349983,-98.99674988
42163303490000,TX,FRIO,RR DISTRICT 01,28.74398041,-99.30255127
42163303530000,TX,FRIO,RR DISTRICT 01,28.89051056,-99.05574036
42163303590000,TX,FRIO,RR DISTRICT 01,28.7571106,-99.14382935
42163303650000,TX,FRIO,RR DISTRICT 01,28.89508057,-98.99752808
42163303680000,TX,FRIO,RR DISTRICT 01,28.76656914,-99.25068665
42163303700000,TX,FRIO,RR DISTRICT 01,28.74788094,-99.29711151
42163303710000,TX,FRIO,RR DISTRICT 01,28.69282913,-99.40220642
42163303850000,TX,FRIO,RR DISTRICT 01,28.81261063,-99.22154236
42163303860000,TX,FRIO,RR DISTRICT 01,28.83786011,-99.18911743
42163303870000,TX,FRIO,RR DISTRICT 01,28.80133057,-99.22441864
42163304040000,TX,FRIO,RR DISTRICT 01,28.8939209,-99.00479126
42163304060000,TX,FRIO,RR DISTRICT 01,28.8307209,-98.99909973
42163304210000,TX,FRIO,RR DISTRICT 01,28.75138092,-99.29598999
42163304300000,TX,FRIO,RR DISTRICT 01,28.76173973,-99.25733948
42163304340000,TX,FRIO,RR DISTRICT 01,28.75563049,-99.27887726
42163304390000,TX,FRIO,RR DISTRICT 01,28.75160027,-99.32137299
42163304400000,TX,FRIO,RR DISTRICT 01,28.7772007,-99.27603912
42163304550000,TX,FRIO,RR DISTRICT 01,28.74736023,-99.30152893
42163304560000,TX,FRIO,RR DISTRICT 01,28.73102951,-99.17076874
42163304570000,TX,FRIO,RR DISTRICT 01,28.73970032,-99.29920197
42163304680000,TX,FRIO,RR DISTRICT 01,28.78082085,-99.04200745
42163304690000,TX,FRIO,RR DISTRICT 01,28.91119957,-99.04788208
42163304720000,TX,FRIO,RR DISTRICT 01,28.82373047,-99.01235962
42163304750000,TX,FRIO,RR DISTRICT 01,28.82703972,-99.01622009
42163304810000,TX,FRIO,RR DISTRICT 01,28.73209,-99.07565308
42163304860000,TX,FRIO,RR DISTRICT 01,28.75696945,-99.31210327
42163304900000,TX,FRIO,RR DISTRICT 01,28.91411018,-98.8658371
42163304910000,TX,FRIO,RR DISTRICT 01,28.90966034,-98.8911972
42163304930000,TX,FRIO,RR DISTRICT 01,28.75103951,-99.26457214
42163304970000,TX,FRIO,RR DISTRICT 01,28.71607018,-99.17015076
42163305060000,TX,FRIO,RR DISTRICT 01,28.6916008,-99.39820099
42163305070000,TX,FRIO,RR DISTRICT 01,28.66015053,-99.30843353
42163305090000,TX,FRIO,RR DISTRICT 01,28.7514801,-99.26879883
42163305140000,TX,FRIO,RR DISTRICT 01,28.86688995,-99.1330719
42163305160000,TX,FRIO,RR DISTRICT 01,28.87521935,-99.1238327
42163305290000,TX,FRIO,RR DISTRICT 01,28.65213013,-99.40184784
42163305300000,TX,FRIO,RR DISTRICT 01,28.68037033,-99.39550781
42163305370000,TX,FRIO,RR DISTRICT 01,28.76836014,-99.27274323
42163305510000,TX,FRIO,RR DISTRICT 01,28.90216064,-99.06011963
42163305600000,TX,FRIO,RR DISTRICT 01,28.75394058,-99.28378296
42163305640000,TX,FRIO,RR DISTRICT 01,28.68203926,-99.4025116
42163305660000,TX,FRIO,RR DISTRICT 01,28.68091965,-99.09300995
42163305720000,TX,FRIO,RR DISTRICT 01,28.67309952,-99.39872742
42163305760000,TX,FRIO,RR DISTRICT 01,28.65016937,-99.38468933
42163305810000,TX,FRIO,RR DISTRICT 01,28.6566391,-99.3235321
42163305850000,TX,FRIO,RR DISTRICT 01,28.6758194,-99.09181213
42163305860000,TX,FRIO,RR DISTRICT 01,28.6736393,-99.10027313
42163305930000,TX,FRIO,RR DISTRICT 01,28.7176609,-99.15753174
42163305960000,TX,FRIO,RR DISTRICT 01,28.8980999,-99.04219055
42163306060000,TX,FRIO,RR DISTRICT 01,28.75576019,-99.23239136
42163306090000,TX,FRIO,RR DISTRICT 01,28.65501976,-99.08267975
